Row Labels,Days,HFRX Absolute Return Index,HFRX ED: Distressed Restructuring Index,HFRX ED: Merger Arbitrage Index,HFRX ED: Special Situations Index,HFRX EH: Equity Market Neutral Index,HFRX EH: Fundamental Growth Index,HFRX EH: Fundamental Value Index,HFRX Emerging Markets Composite Index,HFRX Equal Weighted Strategies CHF Index,HFRX Equal Weighted Strategies EUR Index
10/24/2012,191,99.40056678,96.65382255,97.85162939,99.20670612,96.20732723,97.99299289,102.8598423,100.2332639,98.74470892,98.92663787
10/25/2012,192,99.4637759,96.53510669,97.71332227,99.09337842,96.44046628,97.81212109,103.219711,100.4730492,98.79003213,98.97379789
10/26/2012,193,99.43743877,96.19807439,97.46173503,99.04301056,96.50187344,97.8261889,103.1592021,100.4534852,98.68481753,98.87193224
10/29/2012,196,99.50591532,96.0320734,97.7666693,99.04211113,96.65799334,97.56559952,103.1507097,100.1886177,98.68886425,98.87193224
10/30/2012,197,99.4637759,95.83790255,97.76864512,99.0960767,96.59450458,97.66139459,103.1899874,99.95535378,98.64273169,98.82760182
10/31/2012,198,99.45850848,95.285572,97.68895387,99.16982965,96.80786844,96.98212049,103.3502829,99.61022348,98.49947797,98.68612175
11/1/2012,199,99.46588287,95.270481,97.99454675,99.53859438,96.54454621,97.91930438,103.5668411,99.6970077,98.64515972,98.82760182
11/2/2012,200,99.51012926,95.31172973,97.91814853,98.9755536,96.52060783,97.88379992,103.2653581,99.9613735,98.60226454,98.7879874
11/5/2012,203,99.38055055,95.28054167,97.61123844,99.07898761,96.39675271,98.33062026,103.1868027,100.2743987,98.57231885,98.75780498
11/6/2012,204,99.46482939,95.3248086,97.7916963,99.51610872,96.46440466,98.44785198,103.5668411,100.1820964,98.71395388,98.89834185
11/7/2012,205,99.50380835,95.28054167,97.58818725,98.91529204,96.54766861,97.84226639,102.8927506,100.4805739,98.54156381,98.73328177
11/8/2012,206,99.46272242,95.37611799,97.43934245,98.67514526,96.50291424,97.36128138,102.6655768,100.4123504,98.45091739,98.63990493
11/9/2012,207,99.4132086,95.36203306,97.23385758,98.82984656,96.5695254,97.25007871,102.696362,100.4615114,98.44768002,98.63424572
11/12/2012,210,99.49643395,95.38617866,97.51244764,98.91259377,96.61532057,97.18308916,102.7069776,100.1760767,98.45658279,98.65028013
11/13/2012,211,99.38897844,95.31474793,97.52166812,98.46827724,96.5632806,96.76440443,102.7239626,99.93879957,98.362699,98.55501688
11/14/2012,212,99.3984598,95.31374186,97.45910061,98.24072242,96.61115737,96.43816529,102.3460473,100.0712333,98.28500206,98.47484484
11/15/2012,213,99.45218756,95.28657807,97.5440607,98.25151553,96.67048293,96.0435968,101.9967941,100.1113647,98.20568644,98.39750241
11/16/2012,214,99.4858991,95.2916084,97.84965357,98.75069706,96.65903414,96.15479947,101.9394699,100.2267426,98.28176469,98.47578804
11/19/2012,217,99.64602889,95.315754,98.0498696,99.0753899,96.76207327,97.15629333,102.7144086,100.3697108,98.45334542,98.64650733
11/20/2012,218,99.6523498,95.26846887,97.78774467,98.94407368,96.93068276,97.15026427,102.8715194,100.654644,98.46791359,98.67008734
11/21/2012,219,99.73557515,95.25136574,98.0630417,99.15274055,97.07014988,97.1315072,102.9224743,100.4615114,98.53104235,98.72667937
11/23/2012,221,99.87884917,95.2493536,98.20925209,99.33262578,97.17943381,97.83288785,103.485101,100.84276,98.70019505,98.89645545
11/26/2012,224,99.95048618,95.240299,98.41868859,99.31014013,97.1856786,97.89853762,103.3439135,100.5161905,98.68562688,98.88325065
11/27/2012,225,99.88833054,95.24130507,98.22505862,99.36590455,97.14716903,98.28506736,103.3279901,100.710828,98.69048294,98.88890985
11/28/2012,226,99.79878428,95.25438394,98.18488369,99.37489881,97.1877602,98.73858665,103.4734238,100.5467907,98.67591476,98.87381864
11/29/2012,227,99.86620735,95.31676006,97.96688532,99.54219208,97.25957535,98.76940185,103.6315963,100.6034764,98.7349968,98.93229707
11/30/2012,228,100.0726905,95.34492993,98.19607998,100.0854455,97.29392173,98.75667383,103.7037823,100.9686724,98.92681111,99.11810756
12/3/2012,231,99.98841166,95.23526867,98.24547538,99.87677862,97.19920899,98.34736765,103.6687509,100.8688455,98.80864702,99.00398031
12/4/2012,232,99.94521876,95.25941427,98.04328354,99.73556871,97.36573689,98.56910308,103.7940149,100.9039605,98.79569753,98.9907755
12/5/2012,233,100.0179093,95.19401994,98.24152375,99.60245363,97.17214821,98.59120963,103.9160943,101.2194938,98.89767476,99.09452755
12/6/2012,234,100.106402,95.21112307,98.44437419,99.83990214,97.14508743,99.17669835,104.0434815,101.4994106,99.04011914,99.23412122
12/7/2012,235,100.1548624,95.27450527,98.3587555,100.0458707,97.16590341,98.91878856,104.0944364,101.4311871,99.08301432,99.27090604
12/10/2012,238,100.364506,95.2614264,99.08124555,100.1942761,97.13363863,98.91141971,103.9904035,101.3955705,99.16637665,99.36239648
12/11/2012,239,100.4761754,95.37813012,99.20572196,100.4677016,97.40216486,99.1699994,104.0647127,101.5204796,99.33472001,99.52462696
12/12/2012,240,100.4350895,95.43648199,99.15171633,100.4883884,97.41049126,99.05008809,104.1793612,101.2711631,99.35980964,99.54537737
12/13/2012,241,100.4224477,95.49483385,99.16818146,100.4029429,97.40320566,98.90070138,103.8598316,100.9817151,99.18013548,99.3869197
12/14/2012,242,100.2823341,95.46565792,99.06741484,100.5558454,97.36365529,99.11171848,103.8863706,100.709323,99.14533373,99.34541888
12/17/2012,245,100.3244735,95.42943952,99.2228457,100.6754691,97.29704413,99.52102467,103.9362639,100.942587,99.21331855,99.41521571
12/18/2012,246,100.4666941,95.58739197,99.2715825,100.7825008,97.38238968,100.0489024,104.220762,101.8811608,99.49577928,99.68591424
12/19/2012,247,100.431929,95.59845871,99.24260386,100.974978,97.38343047,100.1714933,104.2080233,101.890692,99.5224876,99.72081266
12/20/2012,248,100.544652,95.67491977,99.2472141,101.2034322,97.42922565,100.4113159,104.3035637,102.4560435,99.63498628,99.83776952
12/21/2012,249,100.4951382,95.69001076,99.21889407,101.1773489,97.29392173,100.1199113,103.7950765,102.3883218,99.56214541,99.74250627
12/24/2012,252,100.5804705,95.6920229,99.29858532,101.2780846,97.27622814,100.1440275,103.7165211,102.7936492,99.62284614,99.80947351
12/26/2012,254,100.5256892,95.71717456,99.33480861,101.0820097,97.29392173,99.97722355,103.6846743,102.5513557,99.54353052,99.72741506
12/27/2012,255,100.5667752,95.77150216,99.37695935,101.1278804,97.27830974,99.96248585,103.5827645,102.6572023,99.528153,99.73213107
12/28/2012,256,100.503566,95.82079942,99.33217419,101.3671278,97.23043297,99.83989496,103.3587754,102.6286087,99.47473636,99.68968705
12/31/2012,259,100.5931123,95.83387829,99.31439184,101.7421885,97.38655287,100.346336,103.77703,102.7811081,99.68111884,99.89247515
1/2/2013,261,100.7047818,95.87412095,99.38617983,102.2467666,97.39800167,100.9398635,104.6772327,103.0570117,99.83894073,100.1075249
1/3/2013,262,100.8269861,95.94152741,99.41252404,102.5390801,97.20961699,100.7576519,104.7727731,103.317866,100.0129495,100.2358001
1/4/2013,263,100.5730961,96.11255873,99.47377434,102.874566,97.188801,101.0503962,104.9426227,102.5117259,99.99352526,100.2197657
1/7/2013,266,100.544652,96.20411079,99.40527938,102.4725225,97.14092423,100.9760378,104.8810522,102.6597106,100.0534166,100.2848465
1/8/2013,267,100.7089957,96.21718965,99.52251113,102.9168391,97.04100749,101.000824,104.9723464,103.0499887,100.1464911,100.3782234
1/9/2013,268,100.5509729,96.33288731,99.45599199,103.3404688,96.99313072,101.3183545,105.1751043,103.0309263,100.2452309,100.4782026
1/10/2013,269,100.7416538,96.36105717,99.47179852,103.6696588,97.04621149,101.5213328,105.4542945,103.2717149,100.363395,100.5942163
1/11/2013,270,100.5941658,96.39727557,99.48101899,103.7955784,96.93588676,101.6506227,105.5041879,102.7118814,100.2751766,100.5046123
1/14/2013,273,100.7700979,96.4868155,99.31768487,104.0240327,97.48126561,101.7403887,105.4553561,102.8217412,100.4305705,100.6545811
